id,"
標準地番
号","
標準地の所在及び地番並びに住居表示","
標準地の１平方メートル当たりの価格
(円)",標準地の地積,"
標準地の形状","
標準地の利
用の現況",標準地の周辺の土地の利用の現況,"
標準地の前面道路の状況","
標準地についての水道、ガス供給施設及び下水道の整備の状況","
標準地の鉄道その他の主要な交通施設との接近の状況","
標準地に係る都市計画法その他法令の制限で主要なもの"
1,"千代田
−1",千代田区三番町6番25,"3,240,000",969,1:1.5,"共同住宅
SRC10",マンション、住宅、事務所等が混在する住宅地域,南11ｍ区道,水道、ガス、下水,"半蔵門
500ｍ","２住居
（60,400）
防火"
2, 2,"紀尾井町3番27外｢紀尾井
町3−32｣","2,040,000",535,1:1,"共同住宅
RC5",中層のマンション、事務所等が混在する住宅地域,北5.4ｍ区道,水道、ガス、下水,"永田町
300ｍ","２住居
（60,400）
防火"
3,"※
3",六番町6番1外,"4,150,000","2,266",1:1,"共同住宅
SRC10F1B",中高層マンション、事務所等が混在する住宅地域,北西15ｍ区道,"水道、ガ
ス、下水","四ツ谷
330ｍ","２住居
（60,400★）
 防火"
4, 4,"富士見1丁目8番6｢富士
見1−4−12｣","1,570,000",142,1.2:1,"共同住宅
RC5",一般住宅、共同住宅、事務所等が混在する地域,"南東８ｍ区道,北東側道",水道、ガス、下水,"飯田橋
360ｍ","１住居
（60,400）
防火"
5, 5,"九段北2丁目6番26｢九段
北2−3−25｣","3,010,000","1,511","台形
1.5:1","共同住宅
SRC14F1B",事務所、学校、マンション等が混在する住宅地域,"北12.5ｍ区道,東側道",水道、ガス、下水,"九段下
450ｍ","１住居
（60,400★）
 防火"
6, 6,"平河町2丁目21番1｢平河
町2−12−8｣","1,840,000",590,"台形
1:1","共同住宅
RC4",中層の共同住宅と事務所が混在する住宅地域,"南5.4ｍ区道,西側道",水道、ガス、下水,"永田町
240ｍ","２住居
（60,400）
防火"
7, 7,一番町16番3,"3,080,000",792,1:1.2,"共同住宅
RC14F2B",中高層マンションの多い閑静な住宅地域,南西８ｍ区道,水道、ガス、下水,"半蔵門
220ｍ","２住居
（60,400）
防火"
8,5−1,"大手町1丁目11番外｢大手
町1−4−2｣","14,000,000","6,119","台形
1.5:1","事務所
S22F2B",高層事務所ビルが建ち並ぶ中心的商業地域,"南西40ｍ都道,三方路",水道、ガス、下水,竹橋近接,"商業 （80,
900★） 防
火"
9,5−2,"丸の内2丁目2番1外｢丸
の内2−4−1｣","36,700,000","10,027",1.2:1,"事務所兼店舗
S38F4B",特定街区等による大規模ビル中心の商業地域,"東（駅前広場）都道,四方路",水道、ガス、下水,東京駅前広場接面,"商業 （80,
1300★）
防火"
10,5−3,神田錦町2丁目7番15,"1,290,000",110,1:2,"店舗兼事務所
RC5",中高層の事務所、共同住宅が混在する商業地域,北６ｍ区道,水道、ガス、下水,"竹橋
400ｍ","商業 （80,
600） 防火"
11,5−4,神田岩本町1番2外,"3,070,000",289,"不整形
1:2.5","店舗、事務所兼住宅
SRC9F1B",中高層の事務所ビルが多い駅近接の商業地域,南36ｍ都道,水道、ガス、下水,岩本町近接,"商業 （80,
800） 防火"
12,5−5,"外神田3丁目47番6｢外神
田3−8−9｣","2,450,000",215,1.5:1,"店舗、事務所兼住宅
SRC10",中高層の店舗、事務所ビル等が建ち並ぶ商業地域,"北27ｍ区道,三方路",水道、ガス、下水,末広町近接,"商業 （80,
600） 防火"
13,5−6,"外神田2丁目9番1外｢外
神田2−13−3｣","1,160,000",246,1:1.2,"事務所兼住宅
RC4F1B",中低層の事務所、共同住宅等が建ち並ぶ商業地域,西６ｍ区道,水道、ガス、下水,"末広町
300ｍ","商業 （80,
500★） 防
火"
14,※5−7,神田小川町1丁目1番1外,"5,570,000",817,"不整形
1:1.5","銀行兼事務所
S8F1B",中高層の店舗兼事務所の建ち並ぶ商業地域,"北西36ｍ都道,三方路",水道、ガス、下水,淡路町近接,"商業 （80,
800） 防火"
15,5−8,"神田三崎町3丁目7番8外
｢神田三崎町3−4−9｣","3,210,000",285,1:1,"事務所
SRC8",中高層の店舗、事務所ビルが建ち並ぶ商業地域,北東22ｍ区道,"水道、ガ
ス、下水","水道橋
120ｍ","商業 （80,
600） 防火"
16,5−9,麹町1丁目12番6外,"3,800,000","1,602","不整形
1:2","店舗、事務所兼駐車場
SRC10F1B",店舗兼事務所ビル等が見られる商業地域,"東27ｍ都道,南側道",水道、ガス、下水,"半蔵門
200ｍ","商業 （80,
500） 防火"
